,link,text,date,No_of_likes,No_of_tweets
0,https://twitter.com/WayneCur/status/1387828498094505988#m,You do realise that a dog has the same carbon footprint as a small jumbo jet 🤣,"Apr 29, 2021 · 5:57 PM UTC",0,0
1,https://twitter.com/MnogoNebitanLik/status/1387821214362710027#m,Jumbo jet 😄😄👍🏼,"Apr 29, 2021 · 5:28 PM UTC",1,0
2,https://twitter.com/DaveEveryone/status/1387813069892603907#m,"James should have asked ""If a jumbo jet with 300 people on board crashed on a Monday, then the same happened the next day, then the next, etc... At what point should the planes be grounded and there be an enquiry? Or is the airline doing a good job?""","Apr 29, 2021 · 4:56 PM UTC",8,0
3,https://twitter.com/leefync/status/1387811287472623617#m,"Hoo tau tau yg ada pemumpang sakit kan? Nah iyaa, selain itu Indo masih belum jadi tempat transit fav, orang² masih lebih milih ke changi, makanya belum banyak jumbo jet ke cgk","Apr 29, 2021 · 4:49 PM UTC",0,0
4,https://twitter.com/acorralo/status/1387804904794718212#m,"Ya siéntate, Jumbo Jet.","Apr 29, 2021 · 4:24 PM UTC",1,0
5,https://twitter.com/acorralo/status/1387804526300725251#m,Así es el Jumbo Jet.,"Apr 29, 2021 · 4:22 PM UTC",0,0
6,https://twitter.com/acorralo/status/1387804106627026953#m,"Así como tus amigos, Jumbo Jet.","Apr 29, 2021 · 4:20 PM UTC",0,0
7,https://twitter.com/GilWritesHere/status/1387783530025943041#m,"It was even worse in the Jamaica contest TV spots: A lilting voice singing in an overly affected, stereotypical Jamaican accent: ""Have you tried a Yumbo yet?/It could get you to Jamaica."" The idea was taking a ""jumbo jet"" there -- even though Air Jamaica flew DC-8s, not 747s.😂","Apr 29, 2021 · 2:59 PM UTC",0,0
8,https://twitter.com/ansgarjohn/status/1387779069014691847#m,Double jumbo jet (6 engines) to launch rockets into orbit. #stratolaunch #SpaceShipThree,"Apr 29, 2021 · 2:41 PM UTC",3,0
9,https://twitter.com/ohorella_b/status/1387656057376309251#m,"Mahar sih tergantung permintaan mempelai perempuan, minta Jumbo Jet juga boleh asal calon suaminya sanggup","Apr 29, 2021 · 6:32 AM UTC",0,1
10,https://twitter.com/OFMXRNINGGLXRY/status/1387653391267123203#m,"“A commercial flight? As in a Boeing 747 type of plane?”  He asked, a little incredulously as he conjured the mental image of the old man he’d been shown in photographs behind the cockpit of a jumbo jet.","Apr 29, 2021 · 6:22 AM UTC",0,0
11,https://twitter.com/AndCryptids/status/1387635674254172160#m,"said.  ‘I thought it was about 10 miles away, although I later realised it was approximately 40 miles from us. At first, I thought it was the size of a 737.’  A 737 is slightly smaller than a jumbo jet.  ‘But it must have been much bigger because of how far away it was. It could","Apr 29, 2021 · 5:11 AM UTC",2,1
12,https://twitter.com/jumbo_jet_joe/status/1387592721469038594#m,本人はただ流れに乗ってるだけのようだけど すべての医療が高レベルで行われてて超ラッキー事案ですね いろいろ充実してる都内だからなせる技か,"Apr 29, 2021 · 2:20 AM UTC",0,0
